clave_entidad,clave_actividad_economica,anio_censal,UE,A111A,H001A
3,5611,2014,52,140.346,625
3,5612,2014,7,11.705,48
3,5613,2014,34,1109.923,5444
3,5614,2014,283,67.515,617
3,5615,2014,98,296.14,558
3,5616,2014,34,293.298,2188
3,5617,2014,36,49.115,433
3,5619,2014,10,6.355,43
3,5621,2014,11,103.935,203
3,6111,2014,139,340.588,2385
3,6113,2014,20,106.045,987
3,6114,2014,4,2.29,37
3,6115,2014,16,24.33,45
3,6116,2014,148,32.168,366
3,6211,2014,340,106.426,569
3,6212,2014,263,80.819,519
3,6213,2014,111,62.776,482
3,6214,2014,3,0.453,7
3,6215,2014,87,73.681,325
3,6219,2014,13,10.936,191
3,6221,2014,15,213.029,387
3,6223,2014,4,15.335,139
3,6239,2014,4,1.602,36
3,6241,2014,154,5.269,638
3,6244,2014,113,108.78,1113
3,7113,2014,6,1.749,25
3,7115,2014,9,3.317,14
3,7121,2014,13,110.583,264
3,7131,2014,31,18.609,117
3,7132,2014,51,284.059,632
3,7139,2014,242,517.94,1597
3,7211,2014,343,8734.995,20602
3,7212,2014,11,14.388,55
3,7213,2014,59,15.128,145
3,7223,2014,9,27.413,80
3,7224,2014,204,397.694,1592
3,7225,2014,3376,2894.441,13200
3,8111,2014,1932,554.58,4146
3,8112,2014,140,38.469,272
3,8113,2014,120,63.981,357
3,8114,2014,581,92.817,947
3,8121,2014,1142,177.45,1758
3,8122,2014,321,80.914,665
3,8123,2014,25,21.489,98
3,8124,2014,41,9.286,76
3,8129,2014,26,8.112,49
3,8131,2014,108,206.828,734
3,8132,2014,116,109.829,714
4,1141,2014,833,994.714,10069
4,2111,2014,11,589944.135,14912
4,2123,2014,8,23.87,108
4,2131,2014,6,5469.92,1586
4,2221,2014,11,253.193,857
4,2361,2014,48,923.733,926
4,2362,2014,71,354.678,1296
4,2371,2014,46,7681.12,3985
4,2372,2014,19,201.471,884
4,2373,2014,39,1897.644,2157
4,2379,2014,5,603.47,318
4,2381,2014,6,3.931,59
4,2382,2014,30,49.695,250
4,2383,2014,13,28.624,105
4,2389,2014,7,25.159,76
4,3113,2014,17,470.933,647
4,3114,2014,4,49.857,36
4,3115,2014,61,37.223,153
4,3116,2014,25,8.47,125
4,3117,2014,9,41.641,105
4,3118,2014,842,533.612,2516
4,3119,2014,77,222.349,394
4,3121,2014,139,1150.118,2427
4,3141,2014,3,0.65,6
4,3149,2014,434,11.777,527
4,3151,2014,12,313.803,1514
4,3152,2014,308,696.737,5316
4,3159,2014,6,0.05,7
4,3169,2014,5,0.11,5
4,3219,2014,157,47.892,376
4,3222,2014,28,0.872,39
4,3231,2014,114,60.238,418
4,3241,2014,5,36.789,32
4,3256,2014,5,13.587,20
4,3261,2014,6,43.05,87
4,3273,2014,21,256.036,274
4,3279,2014,7,1.991,19
4,3323,2014,470,123.42,1050
4,3327,2014,29,21.679,127
4,3329,2014,6,2.012,65
4,3362,2014,3,8.769,13
4,3366,2014,3,0.144,14
4,3371,2014,167,31.699,347
4,3372,2014,4,0.911,6
4,3379,2014,3,6.866,45
4,3391,2014,3,0.257,3
4,3399,2014,123,10.187,188
4,4311,2014,138,946.809,1815
4,4312,2014,40,743.724,2088
4,4321,2014,9,4.568,19
4,4331,2014,4,15.415,13
4,4332,2014,4,1.01,8
4,4333,2014,8,5.99,26
4,4334,2014,14,12.538,51
4,4335,2014,4,4.055,10
4,4341,2014,152,196.03,460
4,4342,2014,269,768.375,2128
4,4343,2014,70,16.765,233
4,4351,2014,32,36.454,145
4,4352,2014,26,250.259,516
4,4353,2014,41,49.15,159
4,4354,2014,62,568.97,905
4,4611,2014,7429,796.053,12998
4,4612,2014,841,196.101,1491
4,4621,2014,418,1976.188,5712
4,4622,2014,16,503.597,1042
4,4631,2014,151,55.653,595
4,4632,2014,1284,243.523,2846
4,4633,2014,392,105.364,951
4,4641,2014,428,254.082,1727
4,4651,2014,219,46.611,421
4,4652,2014,174,51.111,410
4,4653,2014,690,128.687,1387
4,4659,2014,587,52.793,1014
4,4661,2014,228,230.857,1073
4,4662,2014,242,133.252,770
4,4663,2014,155,14.95,318
4,4664,2014,80,1.168,112
4,4671,2014,574,444.315,2446
4,4681,2014,36,412.564,957
4,4682,2014,272,239.761,1108
4,4683,2014,55,50.2,194
4,4684,2014,138,610.518,1364
4,4691,2014,12,0.453,23
4,4841,2014,7,198.411,116
4,4842,2014,13,87.449,185
4,4851,2014,16,98.599,577
4,4855,2014,3,9.885,32
4,4883,2014,27,4173.064,14976
4,4884,2014,24,420.478,239
4,4885,2014,18,673.264,1502
4,4931,2014,4,0.192,4
4,5111,2014,25,304.564,556
4,5121,2014,8,231.431,246
4,5151,2014,23,99.215,410
4,5179,2014,43,38.131,161
4,5182,2014,4,680.207,402
4,5191,2014,6,5.605,36
4,5223,2014,51,274.654,398
4,5224,2014,119,122.322,686
4,5311,2014,223,49.964,466
4,5312,2014,52,32.308,158
4,5313,2014,27,65.45,332
4,5321,2014,17,59.321,87
4,5322,2014,149,77.352,650
4,5324,2014,83,716.539,1584
4,5411,2014,204,69.761,676
4,5412,2014,141,64.916,660
4,5413,2014,80,2521.49,4481
4,5415,2014,19,14.299,149
4,5416,2014,48,130.343,313
4,5418,2014,47,49.36,222
4,5419,2014,96,33.941,230
4,5511,2014,3,1530.862,415
4,5611,2014,16,102.318,570
4,5612,2014,4,338.383,202
4,5613,2014,50,361.315,5036
4,5614,2014,489,74.903,935
4,5615,2014,55,45.85,208
4,5616,2014,53,850.607,2038
4,5617,2014,29,48.1,432
4,5619,2014,23,5.298,60
4,5621,2014,14,104.786,296
4,6111,2014,136,403.593,2777
